,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
0,1,Bitcoin,BTC,bitcoin,10844,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19642500.0,19642500.0,False,,1,,,,2024-03-02T08:43:00.000Z,62058.13021952685,38081976184.76717,-30.322,0.1049203,-0.14497898,21.64176234,47.20299034,35.76026016,57.276544,1218976822837.0562,52.2238,1303220734610.06,,2024-03-02T08:43:00.000Z,,,,,,2024-03-02 15:43:45.739759,
1,1027,Ethereum,ETH,ethereum,8486,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120138874.305299,120138874.305299,True,,2,,,,2024-03-02T08:43:00.000Z,3422.490864361074,16086038867.604092,-33.6846,-0.28489111,-0.2346984,15.88878206,50.85562726,41.13528932,58.13347495,411174199764.50916,17.6165,411174199764.51,,2024-03-02T08:43:00.000Z,,,,,,2024-03-02 15:43:45.739759,
2,825,Tether USDt,USDT,tether,76666,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,99179337470.68521,101600078701.91211,True,,3,,,,2024-03-02T08:42:00.000Z,1.0011898021775736,80437473581.15614,-16.3337,0.00255271,0.0971698,0.13522521,0.20567678,0.0438523,0.08842049,99297341262.37814,4.2543,101720962696.79,,2024-03-02T08:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-02 15:43:45.739759,
3,1839,BNB,BNB,bnb,2080,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149542059.43033925,149542059.43033925,False,,4,,,,2024-03-02T08:42:00.000Z,409.5448144584168,1584151928.2420235,-17.3751,0.20363262,0.87785674,7.60924285,37.59219806,28.00158708,79.63605225,61244174983.12782,2.624,61244174983.13,,2024-03-02T08:42:00.000Z,,,,,,2024-03-02 15:43:45.739759,
4,5426,Solana,SOL,solana,628,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,442824764.318864,570877084.5087081,True,,5,,,,2024-03-02T08:43:00.000Z,128.90772945329266,3864011165.575785,-39.747,0.2112281,-3.1133791,26.49241444,35.60725959,12.47777203,102.21364408,57083534914.0342,2.4457,73590468760.93,,2024-03-02T08:43:00.000Z,,,,,,2024-03-02 15:43:45.739759,
5,52,XRP,XRP,xrp,1237,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54664031281.0,99987852435.0,False,,6,,,,2024-03-02T08:43:00.000Z,0.6293465151271553,2507085757.4764857,-16.0485,0.30843981,6.44324657,16.26639682,27.8799025,-0.58051314,1.48010817,34402617589.49916,1.474,62934651512.72,,2024-03-02T08:43:00.000Z,,,,,,2024-03-02 15:43:45.739759,
6,3408,USDC,USDC,usd-coin,16970,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,29025494937.45965,29025494937.45965,False,,7,,,,2024-03-02T08:43:00.000Z,0.9993744532604687,7584380052.595131,-19.9017,-0.03528425,-0.05526951,-0.07091445,-0.07854514,-0.04215443,-0.0553511,29007338133.73824,1.2424,29007338133.74,,2024-03-02T08:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-02 15:43:45.739759,
7,2010,Cardano,ADA,cardano,1085,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35479783334.776,36671429496.447,False,,8,,,,2024-03-02T08:42:00.000Z,0.748653608088079,1352070207.914653,7.7395,2.43398139,11.23505278,27.7178104,52.24525281,18.38074872,89.19135624,26562067807.763348,1.1378,33689412363.96,,2024-03-02T08:42:00.000Z,,,,,,2024-03-02 15:43:45.739759,
8,74,Dogecoin,DOGE,dogecoin,899,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143297876383.70526,143297876383.70526,True,,9,,,,2024-03-02T08:43:00.000Z,0.14500080622017872,4826827786.601794,45.3284,0.07756672,19.26018425,70.70653362,83.82145749,54.0554398,70.07254162,20778307605.27677,0.8902,20778307605.28,,2024-03-02T08:43:00.000Z,,,,,,2024-03-02 15:43:45.739759,
9,5805,Avalanche,AVAX,avalanche,674,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,377243482.1169365,435933122.1169365,False,,10,,,,2024-03-02T08:42:00.000Z,42.64812848482375,709567768.2759094,-26.8329,0.38578143,0.3254182,17.71412184,27.53502253,-1.21886253,92.93307719,16088728495.38542,0.6894,30706652509.07,,2024-03-02T08:42:00.000Z,,,,,,2024-03-02 15:43:45.739759,
